,%coarse,%fine,Area(m2),Coarse Carb(gm2d),Coarse Org(gm2d),Coarse Terr(gm2d),Coarse Terr+Org(gm2d),Coarse(%carb),Coarse(%organic),Coarse(%terr),Coarse(gm2d),Days deployed:,Fine Org(gm2d),Fine(%carb),Fine(%organic),Fine(%terr),Fine_Carb_gm2d,Fine_TerrOrg_gm2d,Fine_Terr_gm2d,Fine_gm2d,Lat,Lon,Mass Beaker,Mass Beaker + Sed,Mass Filter,Mass Filter + Sed,Mass Fine Fraction,Mass Sand Fraction,Month,Pod(P)/Tube(T),Precip,SSY,Total(%carb),Total(%organic),Total(%terr),Total(g),Total_Carb_gm2d,Total_Org_gm2d,Total_TerrOrg_gm2d,Total_Terr_gm2d,Total_gm2d,Waves,end,start
P2A,88.46557606508617,11.534423934913828,0.018241469247509915,1.8838266835258286,0.6877293023615552,3.4216240141126155,4.109353316474171,31.432840053624766,11.475198515004642,57.091961431370585,5.99318,37.0,0.07820900783290125,22.85146504206381,10.008703220191864,67.13983173774433,0.17856363298519085,0.6028463670148092,0.524637359181908,0.78141,-14.29177,-170.6822,70.3684,74.4134,1.7715,2.2989,0.5274000000000001,4.045000000000002,Apr_2014,P2A,347.9800000000001,42.74997684164197,30.443027880346563,11.306046730715371,58.25092538893806,4.572400000000002,2.062387278176382,0.7659371806096974,4.712192721823617,3.9462555412139197,6.77458,1.4684429511166457,2014-05-18 00:00:00,2014-04-11 00:00:00
P2B,98.12983276389137,1.8701672361086192,0.018241469247509915,0.5889655297862224,0.19108726840855295,0.02846720180522473,0.21955447021377766,72.84489311163884,23.63420427553467,3.5209026128264895,0.80852,37.0,0.004158843373493598,57.980722891568284,26.987951807226462,15.031325301205253,0.008934829397590672,0.006475170602409328,0.0023163272289157297,0.01541,-14.29142,-170.6793,69.902,70.4477,1.7643,1.7747,0.010399999999999965,0.5456999999999965,Apr_2014,P2B,347.9800000000001,42.74997684164197,72.56690827026367,23.69692496305417,3.736166766682162,0.5560999999999965,0.5979005273111835,0.19524607384809223,0.22602947268881657,0.03078339884072434,0.82393,1.4684429511166457,2014-05-18 00:00:00,2014-04-11 00:00:00
P2C,92.58658806190124,7.413411938098768,0.018241469247509915,3.872218433849515,0.3130855069393785,0.4684860592111062,0.7815715661504847,83.20569758948116,6.727538349160114,10.066764061358725,4.65379,37.0,0.032089888641424195,85.10393466963816,8.611729769858625,6.2843355605032105,0.3171227917594727,0.05550720824052731,0.023417319599103113,0.37263,-14.29033,-170.6767,68.0986,71.2396,1.7569,2.0084,0.25150000000000006,3.140999999999991,Apr_2014,P2C,347.9800000000001,42.74997684164197,83.34642172379493,6.867221220878811,9.786357055326254,3.392499999999991,4.1893328761670015,0.34517469416837465,0.837077123832999,0.49190242966462444,5.02641,1.4684429511166457,2014-05-18 00:00:00,2014-04-11 00:00:00
P3A,98.26270071071336,1.7372992892866368,0.018241469247509915,0.43861999577419475,0.07993042580644946,0.03453957841935576,0.11447000422580522,79.303548387097,14.451612903225419,6.244838709677586,0.55309,37.0,0.0020329213483148206,24.230337078641377,20.78651685393477,54.983146067423846,0.0023697269662911265,0.007410273033708874,0.005377351685394053,0.00978,-14.29273,-170.6794,69.3522,69.7255,1.7564,1.763,0.006599999999999939,0.3733000000000004,Apr_2014,P3A,347.9800000000001,42.74997684164197,78.34676187844785,14.561669144538085,7.091568977014049,0.37990000000000035,0.4409904185852194,0.08196326711386151,0.12187958141478049,0.03991631430091898,0.56287,1.4684429511166457,2014-05-18 00:00:00,2014-04-11 00:00:00
P3B,60.96096096096816,39.03903903903185,0.018241469247509915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03008,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01926,-14.29384,-170.6773,68.3232,68.3435,1.7056,1.7186,0.0129999999999999,0.02030000000000598,Apr_2014,P3B,347.9800000000001,42.74997684164197,0.0,0.0,0.0,0.03330000000000588,0.0,0.0,0.0,0.0,0.04934,1.4684429511166457,2014-05-18 00:00:00,2014-04-11 00:00:00
P3C,50.0,50.0,0.018241469247509915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,-14.29337,-170.6754,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,Apr_2014,P3C,347.9800000000001,42.74997684164197,0.0,0.0,0.0,2e-05,0.0,0.0,0.0,0.0,3e-05,1.4684429511166457,2014-05-18 00:00:00,2014-04-11 00:00:00
P1A,95.28846153846155,4.711538461538455,0.018241469247509915,7.397535167597434,0.7621803682562269,5.421974464146339,6.184154832402566,54.466971102988175,5.611822742650045,39.92120615436178,13.58169,40.0,0.06483397465438054,34.25921658986173,9.654377880184729,56.08640552995355,0.23006776900921644,0.44148223099078354,0.37664825633640303,0.67155,-14.29018,-170.6814,69.35,79.26,1.77,2.26,0.48999999999999977,9.91000000000001,May_2014,P1A,387.85800000000006,38.33297006467327,53.51487497688895,5.802289282783891,40.682835740327164,10.400000000000011,7.627603566155926,0.8270142169694665,6.6256364338440745,5.798622216874608,14.25324,1.6031300425472692,2014-06-26 00:00:00,2014-05-17 00:00:00
P1B,99.4535519125683,0.5464480874316923,0.018241469247509915,1.151543927268596,0.21769281328178447,1.1250832594496196,1.3427760727314042,46.16664771435084,8.727541505572038,45.10581078007712,2.49432,40.0,0.0013942372881354359,48.574152542379146,10.16949152542258,41.256355932198275,0.006659516313560181,0.007050483686439819,0.005656246398304383,0.01371,-14.28941,-170.6796,67.46,69.28,1.75,1.76,0.010000000000000009,1.8200000000000074,May_2014,P1B,387.85800000000006,38.33297006467327,46.17980347843842,8.73542101387723,45.084775507684334,1.8300000000000074,1.1581987071999313,0.21908610611224372,1.3498212928000686,1.1307351866878248,2.50802,1.6031300425472692,2014-06-26 00:00:00,2014-05-17 00:00:00
P1C,92.33716475095788,7.662835249042112,0.018241469247509915,1.6900844757575697,0.24038272727272936,1.372442796969701,1.6128255242424303,51.16955883622532,7.2779072779073415,41.55253388586734,3.30291,40.0,0.02130960365853892,48.09908536585229,7.77439024390329,44.12652439024442,0.13183959298780112,0.1422604070121989,0.12095080335365996,0.2741,-14.28833,-170.6779,68.32,70.73,1.79,1.99,0.19999999999999996,2.410000000000011,May_2014,P1C,387.85800000000006,38.33297006467327,50.93427351282509,7.3159519496311685,41.74977453754374,2.610000000000011,1.8219240569811046,0.26169233283350185,1.7550859430188952,1.4933936101853933,3.57701,1.6031300425472692,2014-06-26 00:00:00,2014-05-17 00:00:00
P2A,91.1255411255411,8.874458874458885,0.018241469247509915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.76982,40.0,0.0469554012174831,22.235196458219793,8.356391809628429,69.40841173215178,0.12494179241838284,0.43696820758161714,0.39001280636413405,0.56191,-14.29177,-170.6822,67.04,71.25,1.74,2.15,0.4099999999999999,4.209999999999994,May_2014,P2A,387.85800000000006,38.33297006467327,1.9732533653398538,0.7415845545341254,6.159620954584905,4.619999999999994,0.12494107530923314,0.04695513171480358,0.4369656995825424,0.3900105678677388,6.33173,1.6031300425472692,2014-06-26 00:00:00,2014-05-17 00:00:00
P2B,95.2380952380953,4.7619047619047015,0.018241469247509915,0.12521861901457293,0.03747238029146481,0.11140900069396226,0.14888138098542708,45.68355308813314,13.671061762665015,40.64538514920184,0.2741,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01371,-14.29142,-170.6793,70.5,70.7,1.79,1.8,0.010000000000000009,0.20000000000000284,May_2014,P2B,387.85800000000006,38.33297006467327,43.50814579822207,13.020058821585737,38.709890618287496,0.21000000000000285,0.12522079442186293,0.03747303129440591,0.14888396748289917,0.11141093618849325,0.28781,1.6031300425472692,2014-06-26 00:00:00,2014-05-17 00:00:00
P2C,92.49999999999982,7.500000000000187,0.018241469247509915,0.19955621208281926,0.18600612793572238,0.12152765998145837,0.3075337879171808,39.35321384425235,36.68108776266982,23.96569839307783,0.50709,40.0,0.0057328263624846195,60.13054499366006,13.941698352345867,25.927756653994074,0.024725680101393012,0.01639431989860698,0.010661493536122361,0.04112,-14.29033,-170.6767,69.9,70.27,1.77,1.8,0.030000000000000027,0.36999999999999034,May_2014,P2C,387.85800000000006,38.33297006467327,40.91151368045797,34.97563355689548,24.112852762646554,0.39999999999999036,0.2242769179962706,0.19173642315890102,0.32392308200372943,0.13218665884482841,0.5482,1.6031300425472692,2014-06-26 00:00:00,2014-05-17 00:00:00
P3A,80.16528925619832,19.83471074380167,0.018241469247509915,0.7296268218471781,0.23810624628916555,0.3616569318636566,0.5997631781528221,54.88433205057793,17.910940076965037,27.20472787245703,1.32939,40.0,0.02990181818181889,49.01136363636278,9.090909090909307,41.89772727272791,0.16120817727272446,0.16771182272727553,0.13781000454545664,0.32892,-14.29273,-170.6794,70.37,71.34,1.73,1.97,0.24,0.9699999999999989,May_2014,P3A,387.85800000000006,38.33297006467327,53.71944575354351,16.161512443367204,30.119041803089267,1.2099999999999989,0.8908349408755873,0.26800797699960266,0.7674750591244123,0.4994670821248096,1.65831,1.6031300425472692,2014-06-26 00:00:00,2014-05-17 00:00:00
P3B,99.66777408637876,0.3322259136212499,0.018241469247509915,0.018668479999997236,0.005482666666665855,0.016968853333336906,0.02245152000000276,45.399999999993284,13.33333333333136,41.266666666675356,0.04112,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014,-14.29384,-170.6773,68.1,68.13,1.75,1.68,0.0001,0.030000000000001137,May_2014,P3B,387.85800000000006,38.33297006467327,45.24916943520926,13.289036544848534,41.12956810632096,0.030100000000001136,0.01866528239202382,0.005481727574750021,0.022447674418607417,0.016965946843857396,0.04125,1.6031300425472692,2014-06-26 00:00:00,2014-05-17 00:00:00
P3C,50.0,50.0,0.018241469247509915,3.3922471910094537e-05,3.146067415736773e-06,0.00010293146067416867,0.00010607752808990544,24.230337078638957,2.2471910112405524,73.52247191012049,0.00014,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014,-14.29337,-170.6754,67.46,66.39,1.68,1.6,0.0001,0.0001,May_2014,P3C,387.85800000000006,38.33297006467327,12.115168539319479,1.1235955056202762,36.76123595506024,0.0002,3.271095505616259e-05,3.0337078651747458e-06,0.0001022890449438374,9.925533707866265e-05,0.00027,1.6031300425472692,2014-06-26 00:00:00,2014-05-17 00:00:00
P1A,96.51987785893905,3.4801221410609475,0.018241469247509915,10.365751812336752,0.5927495925526192,3.4699385951106283,4.062688187663247,71.84249865083649,4.108202914193212,24.049298434970297,14.42844,49.0,0.047544721274176534,41.577929465300905,9.139173302996085,49.28289723170301,0.21630086245733487,0.3039291375426651,0.25638441626848857,0.52023,-14.29018,-170.6814,70.4974,83.394,1.7929,2.2579,0.46499999999999986,12.896600000000007,Jun_Jul_2014,P1A,797.814,236.7108128667349,70.78925467771396,4.283286828604162,24.92745849368188,13.361600000000006,10.582052077231024,0.6402944131615017,4.3666179227689765,3.7263235096074747,14.94867,2.005174951255322,2014-08-14 00:00:00,2014-06-26 00:00:00
P1B,,,0.018241469247509915,,,,,,,,,49.0,,,,,,,,,-14.28941,-170.6796,,,,,,,Jun_Jul_2014,P1B,797.814,236.7108128667349,,,,,,,,,,2.005174951255322,2014-08-14 00:00:00,2014-06-26 00:00:00
P1C,83.76671739904803,16.23328260095198,0.018241469247509915,2.2001742553785677,0.19475857069813074,0.4991271739233018,0.6938857446214326,76.02379547689293,6.729596853490624,17.24660766961645,2.89406,49.0,0.051846024409244934,63.77927810958175,9.244352116333523,26.976369774084723,0.3576997033497783,0.2031402966502217,0.15129427224097677,0.56084,-14.28833,-170.6779,68.3658,70.9526,1.7181,2.2194,0.5012999999999999,2.586800000000011,Jun_Jul_2014,P1C,797.814,236.7108128667349,74.03610836953467,7.137824182030227,18.82606744843512,3.0881000000000105,2.5578735080590533,0.2466046876649623,0.8970264919409472,0.6504218042759848,3.4549,2.005174951255322,2014-08-14 00:00:00,2014-06-26 00:00:00
P2A,84.35558641917383,15.644413580826178,0.018241469247509915,3.011225069613789,0.9315455723974283,6.1140393579887835,7.0455849303862115,29.94214934570494,9.262833566483092,60.79501708781197,10.05681,49.0,0.14814699436899795,21.73004306061622,7.943027492547287,70.32692944683649,0.40529137913216523,1.4598286208678346,1.3116816264988367,1.86512,-14.29177,-170.6822,69.8838,78.8729,1.7484,3.4155,1.6671000000000002,8.989100000000008,Jun_Jul_2014,P2A,797.814,236.7108128667349,28.657413474768646,9.056357645811712,62.28622887941966,10.656200000000007,3.416516774272486,1.0796926190833203,8.505413225727516,7.425720606644196,11.92193,2.005174951255322,2014-08-14 00:00:00,2014-06-26 00:00:00
P2B,69.67089696709027,30.32910303290972,0.018241469247509915,0.27456383148648894,0.06769953040540436,0.020106638108106714,0.08780616851351107,75.7689189189196,18.68243243243214,5.548648648648264,0.36237,49.0,0.016658943965520614,93.93103448275653,10.560344827588345,-4.491379310344875,0.14817620689654842,0.009573793103451574,-0.00708515086206904,0.15775,-14.29142,-170.6793,68.1257,68.4496,1.7085,1.8495,0.14100000000000001,0.32390000000000896,Jun_Jul_2014,P2B,797.814,236.7108128667349,81.27732566123183,16.219076114335877,2.5035982244322916,0.464900000000009,0.42273962622919903,0.08435865868588376,0.097380373770801,0.013021715084917236,0.52012,2.005174951255322,2014-08-14 00:00:00,2014-06-26 00:00:00
P2C,91.53075123109699,8.469248768903011,0.018241469247509915,2.282360587920722,0.19955313279387155,0.4501762792854066,0.6497294120792781,77.84074117509087,6.805832453774323,15.353426371134809,2.93209,49.0,0.026960172143976106,78.50860719874773,9.937402190923741,11.553990610328533,0.21299385133020254,0.058306148669797414,0.03134597652582131,0.2713,-14.29033,-170.6767,67.0227,69.6435,1.6862,1.9287,0.24250000000000016,2.6208000000000027,Jun_Jul_2014,P2C,797.814,236.7108128667349,77.89730441007735,7.071052885185189,15.031642704737463,2.863300000000003,2.495362249472418,0.22651410812402234,0.7080377505275822,0.4815236424035599,3.2034,2.005174951255322,2014-08-14 00:00:00,2014-06-26 00:00:00
P3A,88.04171494785624,11.95828505214376,0.018241469247509915,1.064816344619717,0.1093088178403759,0.1009448375399071,0.210253655380283,83.51042253521116,8.572769953051669,7.916807511737169,1.27507,49.0,0.02061187227866549,79.07111756168537,11.901306240929319,9.027576197385311,0.1369432685050829,0.03624673149491711,0.01563485921625162,0.17319,-14.29273,-170.6794,69.3371,70.4768,1.7007,1.8555,0.15479999999999983,1.1396999999999906,Jun_Jul_2014,P3A,797.814,236.7108128667349,82.97955779214294,8.97080581042012,8.049636397436924,1.2944999999999904,1.2017597436804894,0.12992059222999044,0.24650025631951045,0.11657966408951999,1.44826,2.005174951255322,2014-08-14 00:00:00,2014-06-26 00:00:00
P3B,99.94977398292313,0.05022601707686422,0.018241469247509915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02226,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,-14.29384,-170.6773,70.26,70.2799,1.7061,1e-05,1e-05,0.0198999999999927,Jun_Jul_2014,P3B,797.814,236.7108128667349,0.0,0.0,0.0,0.0199099999999927,0.0,0.0,0.0,0.0,0.02227,2.005174951255322,2014-08-14 00:00:00,2014-06-26 00:00:00
P3C,99.98830546134955,0.011694538650450769,0.018241469247509915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09566,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,-14.29337,-170.6754,67.4925,67.578,1.7403,1e-05,1e-05,0.08549999999999613,Jun_Jul_2014,P3C,797.814,236.7108128667349,0.0,0.0,0.0,0.08550999999999613,0.0,0.0,0.0,0.0,0.09567,2.005174951255322,2014-08-14 00:00:00,2014-06-26 00:00:00
P1A,89.68175797303263,10.31824202696736,0.018241469247509915,19.14539186093304,1.1313522871359674,7.035065851930995,8.166418139066963,70.09931550099769,4.142355585865482,25.75832891313683,27.31181,53.0,0.2860163020156655,37.29544526522873,9.102045361743214,53.602509373028056,1.1719459652028619,1.9703840347971382,1.6843677327814726,3.14233,-14.29018,-170.6814,70.24,96.645,1.754,4.792,3.038,26.405,Aug_Sept_2014,P1A,169.418,8.642052144748332,66.71453277585874,4.6541083807273,28.631358843413956,29.443,20.317337211905905,1.417368682018425,10.136802788094093,8.719434106075667,30.45414,1.8056481044256572,2014-10-06 00:00:00,2014-08-14 00:00:00
P1B,,,0.018241469247509915,,,,,,,,,53.0,,,,,,,,,-14.28941,-170.6796,,,,,,,Aug_Sept_2014,P1B,169.418,8.642052144748332,,,,,,,,,,1.8056481044256572,2014-10-06 00:00:00,2014-08-14 00:00:00
P1C,78.19066578190665,21.809334218093355,0.018241469247509915,2.2437521964582494,0.27408855521806536,1.1385592483236855,1.412647803541751,61.365063900510044,7.496131583471867,31.138804516018087,3.6564,53.0,0.10575184239965939,51.81774330720794,10.369250916759103,37.81300577603295,0.5284684368928909,0.4913915631071091,0.3856397207074497,1.01986,-14.28833,-170.6779,68.074,71.609,5.191000000000001,6.177,0.9859999999999998,3.5349999999999966,Aug_Sept_2014,P1C,169.418,8.642052144748332,59.28285684344394,8.122739781353136,32.59440337520293,4.520999999999996,2.7722205214272315,0.3798404312995041,1.9040394785727688,1.5241990472732647,4.67626,1.8056481044256572,2014-10-06 00:00:00,2014-08-14 00:00:00
P2A,35.0302730754973,64.96972692450271,0.018241469247509915,0.9097348793528117,0.3931016680985087,1.6295234525486797,2.0226251206471884,31.02398339060728,13.405641466208401,55.570375143184314,2.93236,53.0,0.5715793689685169,16.56870639757076,10.509736363943405,72.92155723848583,0.9011006955263642,4.537469304473636,3.9658899355051194,5.43857,-14.29177,-170.6822,69.646,72.481,5.157,10.415000000000001,5.258,2.8349999999999937,Aug_Sept_2014,P2A,169.418,8.642052144748332,21.632429402050988,11.524179829274093,66.84339076867492,8.092999999999993,1.8108355225451067,0.9646810265826538,6.560094477454894,5.59541345087224,8.37093,1.8056481044256572,2014-10-06 00:00:00,2014-08-14 00:00:00
P2B,50.0,50.0,0.018241469247509915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,-14.29142,-170.6793,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,Aug_Sept_2014,P2B,169.418,8.642052144748332,0.0,0.0,0.0,2e-05,0.0,0.0,0.0,0.0,2e-05,1.8056481044256572,2014-10-06 00:00:00,2014-08-14 00:00:00
P2C,66.2595419847327,33.740458015267286,0.018241469247509915,0.2511913582834336,0.03348829840319498,0.1642203433133715,0.19770864171656646,55.95708582834341,7.460079840319665,36.582834331336926,0.4489,53.0,0.025737933836330926,55.992455020314004,11.25943122460778,32.748113755078215,0.12799315293093577,0.10059684706906422,0.07485891323273329,0.22859,-14.29033,-170.6767,66.789,67.223,1.749,1.97,0.22099999999999986,0.4339999999999975,Aug_Sept_2014,P2C,169.418,8.642052144748332,55.96901955571059,8.741998398987871,35.28898204530154,0.6549999999999974,0.3791845105879837,0.05922616495330293,0.2983054894120163,0.23907932445871338,0.67749,1.8056481044256572,2014-10-06 00:00:00,2014-08-14 00:00:00
P3A,50.0,50.0,0.018241469247509915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,-14.29273,-170.6794,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,Aug_Sept_2014,P3A,169.418,8.642052144748332,0.0,0.0,0.0,2e-05,0.0,0.0,0.0,0.0,2e-05,1.8056481044256572,2014-10-06 00:00:00,2014-08-14 00:00:00
P3B,50.0,50.0,0.018241469247509915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,-14.29384,-170.6773,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,Aug_Sept_2014,P3B,169.418,8.642052144748332,0.0,0.0,0.0,2e-05,0.0,0.0,0.0,0.0,2e-05,1.8056481044256572,2014-10-06 00:00:00,2014-08-14 00:00:00
